results <- data.frame(actual= testset$Buy, prediction = ab$net.result)
results

> results
    actual  prediction
57       1 0.694752988
58       0 0.192351653
59       1 0.694752988
60       1 0.694752988
61       1 0.694752988
62       0 0.192351653
63       1 0.694752988
64       1 0.694752988
65       1 0.694752988
66       1 0.694752988
67       0 0.192351653
68       1 0.694752988
69       1 0.694752988
70       1 0.694752988
71       1 0.694752988
72       1 0.694752988
73       1 0.694752988
74       1 0.694752988
75       1 0.694752988
76       1 0.694752988
77       1 0.694752988
78       1 0.694752988
79       1 0.694752988
80       0 0.192351653
81       0 0.192351653
82       1 0.694752988
83       1 0.694752988
84       0 0.192351653
85       1 0.694752988
86       1 0.694752988
87       1 0.694752988
88       0 0.192351653
89       0 0.192351653
90       1 0.694752988
91       1 0.694752988
92       1 0.694752988
93       0 0.192351653
94       0 0.192351653
95       1 0.694752988
96       1 0.694752988
97       1 0.694752988
98       1 0.694752988
99       1 0.694752988
100      1 0.694752988
101      1 0.694752988
102      0 0.192351653
103      1 0.694752988
104      1 0.694752988
105      1 0.694752988
106      0 0.192351653
107      1 0.694752988
108      1 0.694752988
109      1 0.694752988
110      0 0.192351653
111      1 0.694752988
112      1 0.694752988
113      0 0.192351653
114      1 0.694752988
115      1 0.694752988
116      1 0.694752988
117      0 0.192351653
118      1 0.694752988
119      1 0.694752988
120      1 0.694752988
121      0 0.192351653
122      1 0.694752988
123      1 0.694752988
124      1 0.694752988
125      0 0.192351653
126      1 0.694752988
127      1 0.694752988
128      1 0.694752988
129      0 0.192351653
130      1 0.694752988
131      1 0.694752988
132      1 0.694752988
133      1 0.694752988
134      1 0.694752988
135      0 0.192351653
136      1 0.694752988
137      1 0.694752988
138      1 0.694752988
139      1 0.694752988
140      1 0.694752988
NA      NA          NA
